Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
143213 0x2314 0 0 0 0 0 0 0 0
143831 0x2014 0 0 0 0 FF 6C 0 0
143838 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143831 0x2014 0 0 0 0 FF 6C 0 0
143838 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143831 0x2014 0 0 0 0 FF 6C 0 0
143838 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143861 0x2014 0 0 0 0 FF 90 0 1
143838 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143861 0x2014 0 0 0 0 FF 90 0 1
143868 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143861 0x2014 0 0 0 0 FF 90 0 1
143868 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143883 0x2014 0 0 0 0 FF BE 0 1
143868 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143883 0x2014 0 0 0 0 FF BE 0 1
143890 0x2114 0 0 0 0 FF FF FF FF
143846 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143883 0x2014 0 0 0 0 FF BE 0 1
143890 0x2114 0 0 0 0 FF FF FF FF
143898 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143883 0x2014 0 0 0 0 FF BE 0 1
143890 0x2114 0 0 0 0 FF FF FF FF
143898 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
